epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.202,1.02989,2.23442,1.29983,0.47738,0.25883,0.21263,0.15163,1.02769,2.05764,1.30805,0.000107277,0.000107277,0.000107277
2,536.759,1.02803,1.74244,1.28535,0.58625,0.2747,0.26846,0.19119,1.0526,1.84791,1.33627,0.000204304,0.000204304,0.000204304
3,797.157,1.0323,1.6596,1.30017,0.52122,0.26813,0.28103,0.19117,1.12492,1.77521,1.39149,0.000290672,0.000290672,0.000290672
4,1056.1,1.02127,1.57105,1.28316,0.54197,0.34837,0.3682,0.26852,1.01516,1.71098,1.29723,0.000275035,0.000275035,0.000275035
5,1315.48,0.95763,1.4127,1.24426,0.62739,0.4038,0.44274,0.33158,0.9515,1.42863,1.26354,0.000259046,0.000259046,0.000259046
6,1575.4,0.93123,1.28166,1.22625,0.66454,0.45588,0.52365,0.38552,0.89848,1.18975,1.20595,0.000243057,0.000243057,0.000243057
7,1833.82,0.88879,1.16117,1.1902,0.71058,0.4843,0.56309,0.42924,0.83968,1.09879,1.1565,0.000227069,0.000227069,0.000227069
8,2092.49,0.84989,1.05921,1.16338,0.71073,0.54556,0.61721,0.4721,0.79008,0.924,1.12234,0.00021108,0.00021108,0.00021108
9,2356.02,0.81852,0.96606,1.13839,0.75021,0.56266,0.65683,0.51076,0.76294,0.85937,1.10312,0.000195092,0.000195092,0.000195092
10,2616.08,0.78654,0.89593,1.12291,0.74577,0.61702,0.68633,0.53682,0.74084,0.8216,1.08083,0.000179103,0.000179103,0.000179103
11,2872.4,0.74833,0.77697,1.11905,0.78032,0.6528,0.74253,0.5875,0.68915,0.70789,1.04551,0.000163115,0.000163115,0.000163115
12,3132.05,0.71777,0.70164,1.08898,0.84443,0.67241,0.76004,0.60111,0.66647,0.66478,1.02763,0.000147126,0.000147126,0.000147126
13,3391.12,0.68635,0.63073,1.06721,0.8307,0.69155,0.76609,0.62206,0.6377,0.61211,1.00347,0.000131138,0.000131138,0.000131138
14,3645.62,0.6615,0.58376,1.04983,0.86752,0.70675,0.79811,0.64856,0.62507,0.58011,0.99605,0.000115149,0.000115149,0.000115149
15,3900.05,0.64064,0.53439,1.03432,0.87544,0.7276,0.79965,0.65281,0.60112,0.55707,0.9723,9.9161e-05,9.9161e-05,9.9161e-05
16,4159.33,0.6148,0.50175,1.0166,0.88498,0.74775,0.8155,0.6686,0.57675,0.5219,0.95662,8.31725e-05,8.31725e-05,8.31725e-05
17,4415.11,0.5927,0.45912,1.00269,0.88896,0.76177,0.82893,0.68159,0.56377,0.48997,0.94735,6.7184e-05,6.7184e-05,6.7184e-05
18,4669.79,0.57052,0.43219,0.98809,0.8954,0.74908,0.82877,0.68832,0.53797,0.47668,0.92827,5.11955e-05,5.11955e-05,5.11955e-05
19,4925.93,0.55388,0.40389,0.9815,0.9106,0.77019,0.83865,0.70586,0.52318,0.45076,0.92059,3.5207e-05,3.5207e-05,3.5207e-05
20,5183.34,0.5301,0.37876,0.96636,0.89526,0.77068,0.83722,0.70725,0.50848,0.43886,0.91218,1.92185e-05,1.92185e-05,1.92185e-05
